DBA,ZIPCODE,Longitude_x,Latitude_x,VIOLATION CODE,Borough
16TH FLOOR CAFE,10022.0,-73.973798050467,40.757442664136,"10F, 08B",MANHATTAN
1735 GOTTA GETTA PIZZA CORP,10453.0,-73.911640782701,40.84709355383,Missing,BRONX
18 AVE BARBEQUE,11214.0,-74.002103248109,40.607674294589,"05D, 10B, 02G, 06C, 09B, 06B",BROOKLYN
18 BAKERY,11204.0,-73.99211168663,40.61722589518,"10D, 08A, 04M, 06C, 04L, 10F, 02G, 10B, 04N, 09B, 02B, 04H, 28-06, 05D",BROOKLYN
18 LOUNGE KTV,11214.0,-74.005409133457,40.604627473577,"04H, 06A, 04A, 15-42, 06D, 06E, 10F, 08C, 04L, 10G, 08A",BROOKLYN
18 RESTAURANT,10028.0,-73.955362819172,40.775173595662,"09E, 10B, 08A, 08C, 04L, 02H, 28-03, 10F, 02G, 04N",MANHATTAN
18.5 GRAM COFFEE,11358.0,-73.804562019084,40.762568393857,04A,QUEENS
180 BAR,10033.0,-73.936310684927,40.849635030941,"10B, 06D, 04A",MANHATTAN
1803,10007.0,-74.007070279954,40.715219988793,"10F, 06D, 10B, 08A, 04L, 04N, 02H, 02G, 05D, 09C, 04H, 28-06",MANHATTAN
181 MOTT CAFE,10012.0,-73.995916227952,40.720498322913,Missing,MANHATTAN
181Exclusive LLC,10033.0,-73.938763711348,40.851030689063,Missing,MANHATTAN
1847 INTERNATIONAL,10304.0,-74.075493332566,40.626429249769,"Missing, 08A, 15E2, 04M, 08C, 02B, 04L, 06C, 03A, 15F6, 10F, 05H",STATEN ISLAND
18TH AVE CAFE G,11214.0,-74.003043189841,40.606859072036,"04L, 10H, 20-04, 08A, 04A, 02G, 10B, 10F, 10I, 06D, 02B, 06A",BROOKLYN
18TH WARD BREW PUB,11222.0,-73.939656888123,40.719664580303,"10F, 05D, 10G, 04H, 10B",BROOKLYN
19 CAFE,11206.0,-73.944593208116,40.705232327599,"10F, 10C, 08C, 10B, 10D, 02G, 04C, 08A, 04L, Missing, 02B, 10A, 05D, 04N",BROOKLYN
19 CLEVELAND BY NISH NUSH,10012.0,-73.997333959296,40.721609995404,"04M, 10F, 02G, 20-04, 04L, 02H, 10B, 10C, 09C, 02B, 06D, 08A, 06E, 04H, 02F, 04N",MANHATTAN
19 EMPIRE RESTAURANT,10463.0,-73.917590651561,40.878695309479,"04H, 06F, 10F",BRONX
19.EI / MD FRIED CHICKEN,11220.0,-74.006121730723,40.638780786924,"10F, 06D, 06C",BROOKLYN
1915 Lanzhou Hand Pulled Noodles & Dumplings,10010.0,-73.981155585125,40.740478739333,"06A, 20-01, 04L, 08C, 20-04, 10G, 02B, 08A, 02G",MANHATTAN
1930 LECHONERA EL SAZON CRIOLLO,10473.0,-73.855667748662,40.813622380172,"19-10, 20-08, 10F, 28-06, 04L, 08A, 06F",BRONX
1982 COFFEE ROASTERS,11219.0,-73.995085809789,40.632160430076,"04N, 03I, 06F, 06C, 04A, 06D, 08C, 04H, 08B, 02G, 20-06, 04L, 08A, 09C, 10H, 10F, 04M, 10G, 06B, 10B, 05D",BROOKLYN
