Estimate Households PERCENT ALLOCATED Nonfamily income in the past 12 months,Estimate Households PERCENT ALLOCATED Family income in the past 12 months,Estimate Households PERCENT ALLOCATED Household income in the past 12 months,Estimate Households Mean income (dollars),Estimate Households Median income (dollars),"Estimate Households Total $200,000 or more","Estimate Households Total $150,000 to $199,999","Estimate Households Total $100,000 to $149,999","Estimate Households Total $75,000 to $99,999","Estimate Households Total $50,000 to $74,999","Estimate Households Total $35,000 to $49,999","Estimate Households Total $25,000 to $34,999","Estimate Households Total $15,000 to $24,999","Estimate Households Total $10,000 to $14,999","Estimate Households Total Less than $10,000",Estimate Households Total,GEO_ID,ZIP
-888888888,-888888888,37.1,153168,126250,24.3,15.9,19.5,10.7,10.3,5.6,4.6,3.6,2.7,2.8,19108,860Z200US11222,11222
-888888888,-888888888,55.9,94988,61356,10.0,7.7,14.9,11.2,13.1,10.1,8.6,9.4,7.4,7.5,26748,860Z200US11223,11223
-888888888,-888888888,51.1,67767,40467,7.0,5.4,9.8,7.4,13.2,11.3,7.5,13.5,16.2,8.6,19486,860Z200US11224,11224
-888888888,-888888888,50.3,107973,82716,12.5,10.2,17.8,12.9,14.0,7.7,6.8,7.5,5.6,4.9,24873,860Z200US11225,11225
-888888888,-888888888,52.2,99788,75947,10.8,9.1,18.2,12.5,15.0,11.1,6.2,6.7,5.5,5.0,38458,860Z200US11226,11226
-888888888,-888888888,49.6,118610,83980,16.8,12.0,15.3,9.4,13.1,10.4,7.9,7.7,2.9,4.5,15474,860Z200US11228,11228
-888888888,-888888888,50.4,104211,72799,12.8,8.3,17.1,11.1,12.4,10.8,7.1,8.3,6.9,5.1,30751,860Z200US11229,11229
-888888888,-888888888,47.2,95988,65051,10.4,7.4,14.8,11.3,15.2,10.0,8.4,8.9,7.8,5.9,31897,860Z200US11230,11230
-888888888,-888888888,35.4,204514,130396,33.6,11.5,12.7,7.3,8.0,6.5,3.1,4.7,6.3,6.3,16498,860Z200US11231,11231
-888888888,-888888888,54.4,94910,61320,11.5,7.7,13.5,10.8,13.9,10.4,8.7,9.4,7.2,6.7,34769,860Z200US11235,11235
-888888888,-888888888,67.0,102387,79885,11.2,9.5,18.8,12.8,14.1,9.7,6.8,6.5,3.4,7.1,33986,860Z200US11236,11236
-888888888,-888888888,54.9,94875,79136,10.0,10.0,17.0,14.9,14.8,9.1,5.2,9.4,3.0,6.7,17513,860Z200US11237,11237
-888888888,-888888888,37.5,173287,125747,29.8,12.3,17.9,9.1,7.6,6.4,4.0,4.6,3.0,5.3,26492,860Z200US11238,11238
-888888888,-888888888,43.1,173212,113946,29.3,9.8,16.5,6.4,8.7,7.1,7.8,5.6,4.3,4.4,17047,860Z200US11249,11249
